frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
300,0.34,1.83,132.42,243.08
301,0.2,3.79,263.71,687.71
302,2.23,6.41,130.29,250.4
303,0.77,0.74,103.07,188.56
304,0.39,11.51,144.47,281.42
305,2.27,2.41,92.2,174.43
306,0.93,28.41,130.65,274.74
307,0.32,4.76,101.04,175.51
308,0.29,23.45,123.63,221.63
309,0.46,8.8,113.58,206.75
310,0.52,7.65,163.0,345.66
311,1.68,3.24,123.82,240.36
312,2.41,13.12,133.06,238.97
313,1.68,7.87,103.72,208.82
314,3.0,12.45,105.04,205.57
315,0.26,2.08,107.28,179.01
316,0.72,18.01,105.61,210.7
317,3.19,0.61,61.48,320.31
